house_room,house,house_area,total_price,unit_price
3室2厅,威尼斯水城第八街区 ,134.36,460.0,34237.0
4室2厅,百家湖西花园巴黎城 ,149.2,498.0,33379.0
2室2厅,宇秦园 ,78.71,240.0,30492.0
4室2厅,金地名京 ,186.92,960.0,51359.0
3室1厅,利民东村 ,60.28,155.0,25714.0
2室1厅,火瓦巷 ,60.87,240.0,39429.0
3室1厅,莺虹苑 ,81.09,203.0,25034.0
2室2厅,蔚蓝之都 ,128.44,495.0,38540.0
3室2厅,托乐嘉友邻居 ,106.35,325.0,30560.0
3室2厅,月光广场 ,108.03,375.0,34713.0
2室2厅,南方花园枫彩园 ,90.02,242.0,26883.0
3室2厅,天地新城天柱座 ,103.52,255.0,24633.0
2室1厅,燕江园小区 ,50.99,113.8,22319.0
2室1厅,虹苑新寓一村 ,66.68,200.0,29995.0
2室1厅,清溪路4号 ,51.67,152.0,29418.0
2室1厅,卫岗26号小区 ,61.62,155.0,25155.0
3室1厅,翠屏国际广场苑 ,100.11,270.0,26971.0
2室1厅,开园 ,61.11,193.0,31583.0
2室2厅,亚东国际公寓 ,89.38,340.0,38040.0
2室2厅,百家湖国际花园 ,78.12,230.0,29442.0
2室1厅,凤凰二村 ,48.23,165.0,34212.0
3室1厅,丹凤街 ,62.23,169.0,27158.0
3室1厅,丹凤街 ,62.23,169.0,27158.0
2室2厅,威尼斯水城第十街区 ,85.94,205.0,23854.0
3室1厅,天润城第十街区 ,124.4,275.0,22107.0
3室2厅,天润城第十一街区 ,88.6,195.0,22010.0
3室2厅,梅花山庄湖畔之星 ,132.37,475.0,35885.0
2室1厅,安康村 ,49.17,165.0,33558.0
4室2厅,亚东城东区 ,146.3,565.0,38620.0
2室1厅,市政天元城 ,64.24,175.0,27242.0
1室1厅,中海凯旋门 ,42.63,145.0,34014.0
2室1厅,小火瓦巷 ,56.27,208.0,36965.0
3室2厅,中海凯旋门 ,87.65,325.0,37080.0
2室1厅,江岸水城 ,81.68,174.0,21303.0
3室2厅,春江新城饮溪坊 ,106.64,250.0,23444.0
3室2厅,武夷绿洲品茗苑 ,97.28,282.0,28989.0
2室2厅,明月港湾星河湾 ,88.6,240.0,27089.0
3室2厅,天润城第八街区 ,118.78,268.0,22563.0
3室1厅,新门口 ,63.32,170.0,26848.0
2室1厅,四方新村六村 ,62.67,166.0,26488.0
3室2厅,武夷绿洲品茗苑 ,110.5,315.0,28507.0
3室2厅,虎踞关43号 ,85.38,398.0,46616.0
2室1厅,锁金三村 ,61.59,180.0,29226.0
3室1厅,腾飞园 ,73.56,280.0,38065.0
3室2厅,江岸水城 ,120.87,215.0,17788.0
3室2厅,威尼斯水城第三街区 ,130.43,255.0,19551.0
2室1厅,安康村 ,54.52,165.0,30265.0
3室2厅,育才公寓 ,68.18,458.0,67176.0
3室2厅,大华锦绣华城榴美颂 ,122.32,292.0,23872.0
3室2厅,明月港湾翠堤湾 ,120.53,295.0,24476.0
4室2厅,仁恒翠竹园 ,161.13,680.0,42202.0
6室2厅,富康新村 ,50.38,159.0,31561.0
3室2厅,银城西堤国际二区 ,136.24,680.0,49912.0
4室1厅,枫丹白露白露新寓 ,111.78,412.0,36859.0
1室1厅,玉带园 ,44.5,126.0,28315.0
2室1厅,天目路 ,60.24,540.0,89642.0
3室2厅,天润城第十四街区 ,85.91,198.0,23048.0
